DATENSATZNR;ID;BUNR;SEQNR;BUTYP;DATUMZEIT_DATUM;DATUMZEIT_ZEIT;LADE;KANR;KANAME;FILNR;KASSE;BONNR;BETRAG;MWST1;MWST2;MWST3;MWST;MWSTPROZ;MWSTSCHL;MWSTBETR;TXT;KONTO;KOSTENSTELLE;SIGNATUR0;TSE_START;TSE_STOP;TSE_TRX;TSE_SIGCOUNT;TSE_SERNR;TSE_SIGNATUR;TSE_PROCESSTYPE;TSE_PROCESSDATA;TSE_QR;GVTYP;KOSTENSTELLE2
16;500016;200016;5;2;20260326;230900;1;1;POS01;1001;1;909010;0;0;0;0;0;19;1;3806;ZERO AMOUNT;8401;4100;769B03535DF0394BA6AD742D47401459E0B2A6DB2C7E3FD554963AB2C4E1520C;230900;231000;700016;800016;B;Z;CARD_PAYMENT;ZERO AMOUNT|0|20260326230900;S;CARD_PAYMENT;4100
17;500017;200017;4;1;20260106;225100;3;3;SELF1;1002;3;909004;0;0;0;0;0;19;1;3806;ZERO AMOUNT;8400;4300;CAF5A27B4DAC24EDEF68F5DE909ADB0A5441616EA5873F48B0659816D98BDFD2;225100;225600;700017;800017;C;Z;RETAIL_SALE;ZERO AMOUNT|0|20260106225100;S;RETAIL_SALE;4300
18;500018;200018;5;3;20260120;031600;2;2;POS02;1002;2;909011;-147970;0;-9680;0;-9680;7;2;3801;LARGE REFUND;8402;4400;56EDF7872C0EEE8BAFEF976AAFA8E722C9AE59CB43F5CE42870E8F3867342323;31600;32100;700018;800018;C;Y;RETURN;LARGE REFUND|-147970|20260120031600;Q;RETURN;4300
19;500019;200019;4;1;20260211;035300;4;3;SELF1;1004;3;909004;0;0;0;0;0;7;2;3801;ZERO AMOUNT;8400;4200;59440538A344D577DB6036A802D108EAC054B35AD9D0B8BC3785CA5BDD6D6561;35300;40000;700019;800019;B;Z;RETAIL_SALE;ZERO AMOUNT|0|20260211035300;Q;RETAIL_SALE;4400
20;500020;200020;5;2;20260222;022100;1;3;SELF1;1001;3;909008;32531;0;2128;0;2128;7;2;3801;LATE BOOKING;8401;4300;0FE880605AB35BA737525CD9988BFFBD31F115AE4ED5E188482620A2FCE5450F;22100;22700;700020;800020;A;Z;CARD_PAYMENT;LATE BOOKING|32531|20260222022100;S;CARD_PAYMENT;4200
21;500021;209999;5;2;20260219;032900;2;2;POS02;1001;2;909008;25362;4049;0;0;4049;19;1;3806;DUP BON;8401;4200;62C98BFE72AAB90293D0D321C60DDE0C74062FB301139BD298ECA2F8CCEDDE95;32900;33500;700021;800021;B;Y;CARD_PAYMENT;DUP BON|25362|20260219032900;Q;CARD_PAYMENT;4200
22;500022;200022;2;2;20260117;001000;3;3;SELF1;1002;3;909005;27505;4392;0;0;4392;19;1;3806;TAX CHECK;8401;4400;5CC3DFD4E0327E9A5AACEA9F7AFEF7D52777CBC059DC6C12671114310D4A736B;1000;1200;700022;800022;B;Z;CARD_PAYMENT;TAX CHECK|27505|20260117001000;S;CARD_PAYMENT;4300
23;500023;200023;4;2;20260217;022300;4;2;POS02;1003;2;909001;62237;0;0;0;0;0;0;0;LATE BOOKING;8401;4200;16085752A44AFE355499D0A417727817D31FC44F6101775CD388E43E504B11FF;22300;22600;700023;800023;C;X;CARD_PAYMENT;LATE BOOKING|62237|20260217022300;Q;CARD_PAYMENT;4300
24;500024;200024;3;1;20260120;192000;3;2;POS02;1004;2;909005;16554;2643;0;0;2643;19;1;3806;TAX CHECK;8400;4400;6F7062482A8E9C9D1560E60B386C83F0D9535057D790AF6406A508A2D222DB4C;192000;192500;700024;800024;C;Z;RETAIL_SALE;TAX CHECK|16554|20260120192000;S;RETAIL_SALE;4400
25;500025;209999;2;2;20260215;185300;1;1;POS01;1004;1;909009;24823;0;1624;0;1624;7;2;3801;DUP BON;8401;4100;91B474E43F90C18919A47F9D9E303E4EB52399F8BE90A5E9EECD13FC2D025F62;185300;185900;700025;800025;A;Z;CARD_PAYMENT;DUP BON|24823|20260215185300;Q;CARD_PAYMENT;4100
26;500026;209999;1;2;20260322;195600;3;1;POS01;1004;1;909001;29368;4689;0;0;4689;19;1;3806;DUP BON;8401;4400;3391B3969DA9A923F1184FC6187EF1192B843F98F15B7651E0D661D70E390CED;195600;200000;700026;800026;C;Y;CARD_PAYMENT;DUP BON|29368|20260322195600;Q;CARD_PAYMENT;4100
27;500027;209999;6;1;20260104;010200;4;1;POS01;1004;1;909003;1573;0;103;0;103;7;2;3801;DUP BON;8400;4100;83DC253202B722392FE2B7E9E875E7D7B990990BA91AD2CD9696CA0E3E0F8CB3;10200;10900;700027;800027;A;Z;RETAIL_SALE;DUP BON|1573|20260104010200;Q;RETAIL_SALE;4200
28;500028;200028;3;1;20260309;232900;2;3;SELF1;1002;3;909012;5628;0;368;0;368;7;2;3801;LATE BOOKING;8400;4200;AA06AD5E7256D5368CAB72CCC6F7C3FCDE49F5553ED1A562D6D4C874C9E6436B;232900;233400;700028;800028;B;Z;RETAIL_SALE;LATE BOOKING|5628|20260309232900;Q;RETAIL_SALE;4100
29;500029;200029;5;2;20260218;222600;4;2;POS02;1001;2;909007;0;0;0;0;0;0;0;0;ZERO AMOUNT;8401;4300;1792B054E97203F060DA3A5E860C2E5CB9356A9309BC5ECD5FF8639B54081715;222600;222700;700029;800029;C;X;CARD_PAYMENT;ZERO AMOUNT|0|20260218222600;S;CARD_PAYMENT;4100
30;500030;209999;4;1;20260331;014000;1;1;POS01;1002;1;909003;18824;3006;0;0;3006;19;1;3806;DUP BON;8400;4300;B653D300D872CAEB777E4913483D8FFF6C39E1A0EB7E1182FCB023CBD4EDF453;14000;14500;700030;800030;A;X;RETAIL_SALE;DUP BON|18824|20260331014000;S;RETAIL_SALE;4200
31;500031;209999;5;1;20260208;184600;4;1;POS01;1004;1;909012;44820;0;2932;0;2932;7;2;3801;DUP BON;8400;4200;143FC25365B44B357FA51930CCE71782E662B2183299AE1F978A1627D640FDBE;184600;184900;700031;800031;C;Z;RETAIL_SALE;DUP BON|44820|20260208184600;Q;RETAIL_SALE;4300
32;500032;200032;1;1;20260225;195700;3;1;POS01;1001;1;909001;39483;6304;0;0;6304;19;1;3806;TAX CHECK;8400;4300;D2F00A81C5677FD279A4B8F7494687B1CEFDDB9A750E54FF24877BF683D6CBE8;195700;200400;700032;800032;B;Y;RETAIL_SALE;TAX CHECK|39483|20260225195700;Q;RETAIL_SALE;4300
33;500033;200033;5;2;20260125;033600;1;2;POS02;1004;2;909002;0;0;0;0;0;19;1;3806;ZERO AMOUNT;8401;4300;80D8069E063225C6E22D0F6467879A3F98C3F99E718D082C153D7682E3777B63;33600;34200;700033;800033;A;Y;CARD_PAYMENT;ZERO AMOUNT|0|20260125033600;S;CARD_PAYMENT;4200
34;500034;200034;1;1;20260216;030600;1;2;POS02;1004;2;909003;29596;0;1936;0;1936;7;2;3801;LATE BOOKING;8400;4400;1645085518D565F9FB99DC728726BDFEE9385A32FA596900235A0A61FDF1A5A6;30600;30800;700034;800034;B;Z;RETAIL_SALE;LATE BOOKING|29596|20260216030600;S;RETAIL_SALE;4400
35;500035;200035;5;1;20260112;220200;3;1;POS01;1001;1;909007;21711;3466;0;0;3466;19;1;3806;TAX CHECK;8400;4400;9F8C732FEEBDE907E369D7DF7A775EC10D9C83E997F31688CEAF7569B06A5DDD;220200;220300;700035;800035;A;Z;RETAIL_SALE;TAX CHECK|21711|20260112220200;S;RETAIL_SALE;4200
36;500036;200036;2;1;20260218;185300;2;3;SELF1;1002;3;909007;0;0;0;0;0;7;2;3801;ZERO AMOUNT;8400;4300;2F4C6C042BDB2EF3B0C115D1E0D1626E9F95AFAE7B612B96DB84392333F5DEE8;185300;185400;700036;800036;B;Y;RETAIL_SALE;ZERO AMOUNT|0|20260218185300;R;RETAIL_SALE;4100
37;500037;200037;4;3;20260202;024000;1;2;POS02;1003;2;909007;-92758;-14810;0;0;-14810;19;1;3806;LARGE REFUND;8402;4300;287B9FA346C55616C148C5915457AC6C96F6B565A07DD6A06C51A21A3FB6B67B;24000;24300;700037;800037;C;Y;RETURN;LARGE REFUND|-92758|20260202024000;R;RETURN;4400
38;500038;200038;2;1;20260326;020800;2;2;POS02;1003;2;909007;13613;2174;0;0;2174;19;1;3806;TAX CHECK;8400;4300;68A33088348E2F06C336558F009F1742AC67E0C5617C28989AA65EA832464259;20800;21100;700038;800038;B;Z;RETAIL_SALE;TAX CHECK|13613|20260326020800;S;RETAIL_SALE;4400
39;500039;209999;4;1;20260218;204700;2;2;POS02;1002;2;909011;13544;0;0;0;0;0;0;0;DUP BON;8400;4100;404A1625C286F116076F04DE904E5D5E700992FA9C2BB6F7545E4AACCD9E797C;204700;205200;700039;800039;C;Y;RETAIL_SALE;DUP BON|13544|20260218204700;S;RETAIL_SALE;4200
40;500040;200040;4;2;20260330;171000;2;2;POS02;1004;2;909012;0;0;0;0;0;19;1;3806;ZERO AMOUNT;8401;4400;473B2AB0F3C20ADFC56766F40CEE052753D4E877034836BFC1FC7C52674A8237;171000;171300;700040;800040;B;X;CARD_PAYMENT;ZERO AMOUNT|0|20260330171000;R;CARD_PAYMENT;4400
